codigo_contato,email,ddd,telefone,eh_whatsapp
96,priscila.lima@email.com,082,932109876,1
97,quirino.silva@email.com,082,921098765,0
98,regina.santos@email.com,082,910987654,1
99,sidnei.costa@email.com,082,909876543,0
100,tania.lima@email.com,082,898765432,1
101,ubirajara.silva@email.com,083,987654321,0
102,virginia.santos@email.com,083,976543210,1
103,wilson.costa@email.com,083,965432109,0
104,xuxa.lima@email.com,083,954321098,1
105,yago.silva@email.com,083,943210987,0
106,zenilda.santos@email.com,083,932109876,1
107,arthur.costa@email.com,083,921098765,0
108,bianca.lima@email.com,083,910987654,1
109,celso.silva@email.com,083,909876543,0
110,daniela.santos@email.com,083,898765432,1
111,ernesto.costa@email.com,084,987654321,0
112,fabiana.lima@email.com,084,976543210,1
113,guilherme.silva@email.com,084,965432109,0
114,helena.santos@email.com,084,954321098,1
115,igor.costa@email.com,084,943210987,0
116,jaqueline.lima@email.com,084,932109876,1
117,kevin.silva@email.com,084,921098765,0
118,lorena.santos@email.com,084,910987654,1
119,marcos.costa@email.com,084,909876543,0
120,nicole.lima@email.com,084,898765432,1
121,orlando.silva@email.com,085,987654321,0
122,pamela.santos@email.com,085,976543210,1
123,quintino.costa@email.com,085,965432109,0
124,renato.lima@email.com,085,954321098,1
125,sabrina.silva@email.com,085,943210987,0
126,thales.santos@email.com,085,932109876,1
127,ursula.costa@email.com,085,921098765,0
128,vicente.lima@email.com,085,910987654,1
129,william.silva@email.com,085,909876543,0
130,xuxa.santos@email.com,085,898765432,1
131,yandra.costa@email.com,086,987654321,0
132,ziraldo.lima@email.com,086,976543210,1
133,aline.silva@email.com,086,965432109,0
134,breno.santos@email.com,086,954321098,1
135,cecilia.costa@email.com,086,943210987,0
136,dario.lima@email.com,086,932109876,1
137,ester.silva@email.com,086,921098765,0
138,francisco.santos@email.com,086,910987654,1
139,gabriela.costa@email.com,086,909876543,0
140,heitor.lima@email.com,086,898765432,1
141,iris.silva@email.com,087,987654321,0
142,jonas.santos@email.com,087,976543210,1
143,katia.costa@email.com,087,965432109,0
144,lucio.lima@email.com,087,954321098,1
145,michele.silva@email.com,087,943210987,0
146,nilton.santos@email.com,087,932109876,1
147,olivia.costa@email.com,087,921098765,0
148,pietro.lima@email.com,087,910987654,1
149,quiteria.silva@email.com,087,909876543,0
150,romulo.santos@email.com,087,898765432,1
151,contato@autosilva.com.br,011,30625489,1
152,contato@mecanicasantos.com.br,011,30478912,0
153,vendas@pecaslima.com.br,011,30951478,1
154,atendimento@acessorioscosta.com.br,021,30145789,0
155,contato@retificasouza.com.br,021,30487596,1
156,suporte@autoeletricagomes.com.br,021,30142536,0
157,vendas@pneusoliveira.com.br,031,30789541,1
158,contato@martelinhoferreira.com.br,031,30426795,0
159,servicos@centrodias.com.br,031,30214578,1
160,vendas@vidrosribeiro.com.br,041,30567891,0
161,contato@mouraveiculos.com.br,041,30124789,1
162,reservas@lavagomes.com.br,041,30456982,0
163,servicos@borrachariamatins.com.br,047,30789456,1
164,contato@oficinaalves.com.br,047,30123456,0
165,matricula@autoescolasouza.com.br,047,30654789,1
166,atendimento@postolima.com.br,051,30258741,0
167,contato@funilariaferreira.com.br,051,30147852,1
168,agendamento@alinhamentomachado.com.br,051,30258963,0
169,vendas@oleoefilltrossilva.com.br,061,30753159,1
170,contato@importadosoliveira.com.br,061,30951486,0
171,vendas@carroscosta.com.br,061,30654825,1
172,contato@especializadasantos.com.br,071,30258741,0
173,vendas@acessoriosferreira.com.br,071,30147896,1
174,atendimento@reboquemartins.com.br,071,30654123,0
175,vendas@motosalves.com.br,081,30789456,1
176,contato@autocenterlima.com.br,081,30123789,0
177,vendas@pecasusadaspereira.com.br,081,30456789,1
178,contato@acessoriosoliveira.com.br,082,30159753,0
179,servicos@freiossouza.com.br,082,30951753,1
180,agendamento@inspecaoferreira.com.br,082,30147852,0
181,vendas@multimarcasgomes.com.br,083,30789123,1
182,atendimento@injecaosantos.com.br,083,30654123,0
183,vendas@batteriaslima.com.br,083,30321654,1
184,servicos@retificapereira.com.br,084,30789654,0
185,comercial@importadascosta.com.br,084,30321456,1
186,contato@cambiomartins.com.br,084,30654789,0
187,servicos@centrosouza.com.br,085,30951753,1
188,vendas@rodasoliveira.com.br,085,30123456,0
189,contato@escapamentoslima.com.br,085,30789123,1
190,servicos@eletricaferreira.com.br,086,30456789,0
191,contato@lavagemcosta.com.br,086,30789654,1
192,vendas@caminhoessilva.com.br,086,30123789,0
193,contato@motossouza.com.br,087,30654123,1
194,vendas@pecastratores.com.br,087,30951753,0
195,contato@somautomotivo.com.br,087,30159753,1
196,agendamento@pinturaferreira.com.br,088,30654789,0
197,contato@revisaosantos.com.br,088,30951486,1
198,vendas@vidrospereira.com.br,088,30123789,0
199,atendimento@socorrocosta.com.br,088,30987654,1
200,contato@arcondicionadogomes.com.br,088,30123456,0
