codigo_endereco,logradouro,numero,complemento,cep,bairro,cidade,estado
120,Avenida Pedroso de Morais,876,Casa 2,05420000,Pinheiros,São Paulo,São Paulo
121,Rua Fradique Coutinho,432,,05416000,Vila Madalena,São Paulo,São Paulo
122,Avenida Brigadeiro Faria Lima,4300,Conjunto 1701,01452001,Itaim Bibi,São Paulo,São Paulo
123,Rua Joaquim Floriano,987,,04534011,Itaim Bibi,São Paulo,São Paulo
124,Avenida Juscelino Kubitschek,2345,Apto 1803,04543011,Vila Nova Conceição,São Paulo,São Paulo
125,Rua Tabapuã,765,,04533001,Itaim Bibi,São Paulo,São Paulo
126,Avenida Nove de Julho,4321,Sala 1201,01407100,Jardim Paulista,São Paulo,São Paulo
127,Rua Augusta,4321,Apto 1403,01305000,Cerqueira César,São Paulo,São Paulo
128,Avenida Paulista,5000,25º Andar,01310100,Bela Vista,São Paulo,São Paulo
129,Rua Haddock Lobo,1500,,01414001,Cerqueira César,São Paulo,São Paulo
130,Avenida Rebouças,3210,Apto 1105,05401200,Pinheiros,São Paulo,São Paulo
131,Rua da Consolação,3456,,01301000,Consolação,São Paulo,São Paulo
132,Avenida São João,2345,Apto 1502,01035000,República,São Paulo,São Paulo
133,Rua Barão de Itapetininga,876,,01042001,República,São Paulo,São Paulo
134,Avenida Ipiranga,2345,Conjunto 1101,01046010,República,São Paulo,São Paulo
135,Rua Major Sertório,432,,01222000,Vila Buarque,São Paulo,São Paulo
136,Avenida Higienópolis,2345,Apto 1203,01238000,Higienópolis,São Paulo,São Paulo
137,Rua Maranhão,765,,01240001,Higienópolis,São Paulo,São Paulo
138,Avenida Angélica,3456,Casa 1,01228200,Higienópolis,São Paulo,São Paulo
139,Rua Augusta,5432,Apto 1704,01305000,Consolação,São Paulo,São Paulo
140,Avenida Paulista,6000,30º Andar,01310100,Bela Vista,São Paulo,São Paulo
141,Rua Oscar Freire,2345,,01426001,Jardins,São Paulo,São Paulo
142,Avenida Brasil,1500,,01430000,Jardim América,São Paulo,São Paulo
143,Rua Estados Unidos,1234,,01427000,Jardim América,São Paulo,São Paulo
144,Avenida Europa,876,,01449001,Jardim Europa,São Paulo,São Paulo
145,Rua Gabriel Monteiro da Silva,543,,01441000,Jardim América,São Paulo,São Paulo
146,Avenida Cidade Jardim,1500,Apto 1405,01453000,Jardim Europa,São Paulo,São Paulo
147,Rua Colômbia,876,,01438000,Jardim América,São Paulo,São Paulo
148,Avenida Brigadeiro Faria Lima,5432,18º Andar,01452001,Jardim Paulistano,São Paulo,São Paulo
149,Rua Professor Arthur Ramos,432,,01454010,Jardim Paulistano,São Paulo,São Paulo
150,Avenida Nove de Julho,6789,Apto 1901,01407100,Jardim Paulista,São Paulo,São Paulo
151,Rua General Artigas,435,Galpão,04163010,Vila Mariana,São Paulo,São Paulo
152,Avenida Santo Amaro,3454,Loja,04506001,Campo Belo,São Paulo,São Paulo
153,Rua Vergueiro,1234,Loja Térrea,04101000,Vila Mariana,São Paulo,São Paulo
154,Avenida Ibirapuera,2345,Loja 3,04029200,Moema,São Paulo,São Paulo
155,Rua Abílio Soares,876,Loja,04005001,Paraíso,São Paulo,São Paulo
156,Avenida 23 de Maio,1000,Piso 2,04005000,Paraíso,São Paulo,São Paulo
157,Rua Borges Lagoa,543,Loja,04038032,Vila Clementino,São Paulo,São Paulo
158,Avenida Indianópolis,2345,Loja,04062000,Moema,São Paulo,São Paulo
159,Rua França Pinto,765,Loja 2,04016001,Vila Mariana,São Paulo,São Paulo
160,Avenida Lins de Vasconcelos,1234,Loja,01538001,Cambuci,São Paulo,São Paulo
161,Rua da Mooca,876,Galpão 3,03104000,Mooca,São Paulo,São Paulo
162,Avenida do Estado,2345,Loja,01516000,Ipiranga,São Paulo,São Paulo
163,Rua Hipódromo,432,Loja,03051000,Mooca,São Paulo,São Paulo
164,Avenida Paes de Barros,876,Loja 4,03114001,Mooca,São Paulo,São Paulo
165,Rua Juventus,543,Galpão 2,03124000,Mooca,São Paulo,São Paulo
166,Avenida Salim Farah Maluf,1234,Loja,03304000,Tatuapé,São Paulo,São Paulo
167,Rua Tuiuti,876,Loja 5,03181000,Tatuapé,São Paulo,São Paulo
168,Avenida Celso Garcia,2345,Loja Térrea,03014000,Brás,São Paulo,São Paulo
169,Rua Bresser,765,Galpão,03017000,Brás,São Paulo,São Paulo
170,Avenida Rangel Pestana,1234,Loja 2,03001000,Brás,São Paulo,São Paulo
171,Rua Maria Marcolina,876,Loja,03009000,Brás,São Paulo,São Paulo
172,Avenida Radial Leste,5432,Loja 10,03021000,Tatuapé,São Paulo,São Paulo
173,Rua Barão de Ladário,432,Galpão 4,03040000,Brás,São Paulo,São Paulo
174,Avenida Álvaro Ramos,876,Loja,03058000,Belenzinho,São Paulo,São Paulo
175,Rua Catumbi,543,Loja 3,03021000,Belenzinho,São Paulo,São Paulo
176,Avenida Aricanduva,4321,Loja 24,03527000,Vila Formosa,São Paulo,São Paulo
177,Rua Serra de Jairé,876,Galpão 5,03175000,Quarta Parada,São Paulo,São Paulo
178,Avenida Conselheiro Carrão,1234,Loja,03402000,Vila Carrão,São Paulo,São Paulo
179,Rua Padre Adelino,765,Loja 6,03303000,Belenzinho,São Paulo,São Paulo
180,Avenida Vereador Abel Ferreira,2345,Loja Térrea,03340000,Vila Regente Feijó,São Paulo,São Paulo
181,Rua Vilela,432,Loja 8,03314000,Tatuapé,São Paulo,São Paulo
182,Avenida Regente Feijó,876,Loja,03342000,Vila Regente Feijó,São Paulo,São Paulo
183,Rua Apucarana,543,Loja 5,03311000,Tatuapé,São Paulo,São Paulo
184,Avenida Itaquera,4321,Galpão 6,08210000,Vila Carmosina,São Paulo,São Paulo
185,Rua Domingos Agostim,876,Loja 7,08050000,Vila Esperança,São Paulo,São Paulo
186,Avenida Guilherme Giorgi,1234,Loja Térrea,03422000,Vila Carrão,São Paulo,São Paulo
187,Rua Melo Freire,765,Loja 9,03164000,Tatuapé,São Paulo,São Paulo
188,Avenida Sapopemba,2345,Loja 11,03345000,Vila Regente Feijó,São Paulo,São Paulo
189,Rua dos Trilhos,432,Loja 2,03163000,Mooca,São Paulo,São Paulo
190,Avenida São Miguel,876,Loja 12,03621000,Vila Marieta,São Paulo,São Paulo
191,Rua Itinguçu,543,Loja Térrea,03350000,Vila Formosa,São Paulo,São Paulo
192,Avenida Itaquera,1234,Galpão 7,08210000,Vila Carmosina,São Paulo,São Paulo
193,Rua Ibitirama,765,Loja 13,03134000,Vila Prudente,São Paulo,São Paulo
194,Avenida Professor Luiz Ignácio Anhaia Mello,2345,Loja 14,03155000,Vila Prudente,São Paulo,São Paulo
195,Rua dos Patriotas,432,Loja 15,04207000,Ipiranga,São Paulo,São Paulo
196,Avenida Teresa Cristina,876,Loja Térrea,04055010,Ipiranga,São Paulo,São Paulo
197,Rua Cisplatina,543,Loja 16,04211000,Ipiranga,São Paulo,São Paulo
198,Avenida Dr. Ricardo Jafet,4321,Loja 17,04260000,Vila Mariana,São Paulo,São Paulo
199,Rua Vergueiro,876,Loja 18,04101000,Vila Mariana,São Paulo,São Paulo
200,Avenida Jabaquara,1234,Loja 19,04046100,Mirandópolis,São Paulo,São Paulo
