codigo_cliente,email,ddd,telefone,codigo_endereco
56,luciano.vieira@email.com,062,965432178,56
57,marcia.moreira@email.com,071,948765321,57
58,nelson.freitas@email.com,085,956743281,58
59,olivia.andrade@email.com,084,934567812,59
60,paulo.mendes@email.com,083,921654387,60
61,quintino.castro@email.com,017,943217865,61
62,raquel.carvalho@email.com,014,932178654,62
63,samuel.duarte@email.com,016,921543768,63
64,talita.teixeira@email.com,013,932165487,64
65,ulisses.rocha@email.com,015,965432178,65
66,vanessa.correia@email.com,022,954321876,66
67,wagner.barros@email.com,024,932156789,67
68,xuxa.pinto@email.com,028,921876543,68
69,yasmin.marques@email.com,088,954321678,69
70,zacarias.cunha@email.com,086,932165478,70
71,angela.melo@email.com,087,921876543,71
72,bernardo.dias@email.com,089,965432198,72
73,cecilia.farias@email.com,082,943218765,73
74,dante.machado@email.com,091,932165478,74
75,eduarda.lopes@email.com,092,945678123,75
76,fabiano.xavier@email.com,093,932145678,76
77,giovanna.borges@email.com,094,954321876,77
78,heitor.viana@email.com,095,932156789,78
79,ingrid.soares@email.com,096,921876543,79
80,julio.peixoto@email.com,097,945678123,80
81,kamila.santos@email.com,098,932167845,81
82,leandro.silva@email.com,099,921843765,82
83,melissa.oliveira@email.com,018,956743281,83
84,natan.ferreira@email.com,012,945678132,84
85,otavio.costa@email.com,043,932156478,85
86,poliana.almeida@email.com,044,921876534,86
87,queiroz.lima@email.com,045,965432178,87
88,rebeca.martins@email.com,046,943218765,88
89,sergio.rodrigues@email.com,048,932165478,89
90,tamires.gomes@email.com,049,921876543,90
91,umberto.pereira@email.com,011,954323876,91
92,vivian.souza@email.com,021,932156389,92
93,william.fernandes@email.com,031,921873543,93
94,ximena.cardoso@email.com,047,945678923,94
95,yuri.ribeiro@email.com,019,932167845,95
96,zelia.barbosa@email.com,081,921843765,96
97,arnaldo.nascimento@email.com,027,956733281,97
98,bruna.campos@email.com,041,945678132,98
99,claudio.vieira@email.com,051,932156478,99
100,denise.moreira@email.com,061,921876534,100
101,ernesto.freitas@email.com,062,965432178,101
102,flavia.andrade@email.com,071,943218765,102
103,gilberto.mendes@email.com,085,932165478,103
104,helena.castro@email.com,084,921876543,104
105,ivo.carvalho@email.com,083,954321876,105
106,joice.duarte@email.com,017,932156789,106
107,kelvin.teixeira@email.com,014,921876543,107
108,livia.rocha@email.com,016,945678123,108
109,murilo.correia@email.com,013,932167845,109
110,neide.barros@email.com,015,921843765,110
111,orlando.pinto@email.com,022,956743281,111
112,priscila.marques@email.com,024,945678132,112
113,quirino.cunha@email.com,028,932156478,113
114,regina.melo@email.com,088,921876534,114
115,silvio.dias@email.com,086,965432178,115
116,tatiane.farias@email.com,087,943218765,116
117,ugo.machado@email.com,089,932165478,117
118,valeria.lopes@email.com,082,921876543,118
119,wilson.xavier@email.com,091,954321876,119
120,yana.borges@email.com,092,932156789,120
121,zeus.viana@email.com,093,921876543,121
122,adriana.soares@email.com,094,945678123,122
123,bruno.peixoto@email.com,095,932167845,123
124,carla.santos@email.com,096,921843765,124
125,davi.silva@email.com,097,956743281,125
126,eva.oliveira@email.com,098,945678132,126
127,fabio.ferreira@email.com,099,932156478,127
128,gabriela.costa@email.com,018,921876534,128
129,haroldo.almeida@email.com,012,965432178,129
130,isadora.lima@email.com,043,943218765,130
131,jonas.martins@email.com,044,932165478,131
132,katia.rodrigues@email.com,045,921876543,132
133,lucio.gomes@email.com,046,954321876,133
134,monica.pereira@email.com,048,932156789,134
135,nivaldo.souza@email.com,049,921876543,135
136,olga.fernandes@email.com,011,945678123,136
137,paulo.cardoso@email.com,021,932167845,137
138,queila.ribeiro@email.com,031,921843765,138
139,ronaldo.barbosa@email.com,047,956743281,139
140,silvia.nascimento@email.com,019,945678132,140
141,tadeu.campos@email.com,081,932156478,141
142,ursula.vieira@email.com,027,921876534,142
143,vinicius.moreira@email.com,041,965432178,143
144,wanda.freitas@email.com,051,943218765,144
145,xavier.andrade@email.com,061,932165478,145
146,yara.mendes@email.com,062,921876543,146
147,zulmira.castro@email.com,071,954321876,147
148,alex.carvalho@email.com,085,932156789,148
149,beatriz.duarte@email.com,084,921876543,149
150,ciro.teixeira@email.com,083,945678123,150
151,dalila.rocha@email.com,017,932167845,151
152,elton.correia@email.com,014,921843765,152
153,flora.barros@email.com,016,956743281,153
154,geraldo.pinto@email.com,013,945678132,154
155,hilda.marques@email.com,015,932156478,155
156,igor.cunha@email.com,022,921876534,156
157,janaina.melo@email.com,024,965432178,157
158,klaus.dias@email.com,028,943218765,158
159,luana.farias@email.com,088,932165478,159
160,mauro.machado@email.com,086,921876543,160
161,nadia.lopes@email.com,087,954321876,161
162,oscar.xavier@email.com,089,932156789,162
163,pamela.borges@email.com,082,921876543,163
164,quincas.viana@email.com,091,945678123,164
165,roberta.soares@email.com,092,932167845,165
166,saulo.peixoto@email.com,093,921843765,166
167,tania.santos@email.com,094,956743281,167
168,ulisses.silva@email.com,095,945678132,168
169,vera.oliveira@email.com,096,932156478,169
170,wagner.ferreira@email.com,097,921876534,170
171,ximena.costa@email.com,098,965432178,171
172,yan.almeida@email.com,099,943218765,172
173,zelia.lima@email.com,018,932165478,173
174,arthur.martins@email.com,012,921876543,174
175,bia.rodrigues@email.com,043,954321876,175
176,caio.gomes@email.com,044,932156789,176
177,diana.pereira@email.com,045,921876543,177
178,edson.souza@email.com,046,945678123,178
179,fatima.fernandes@email.com,048,932167845,179
180,gilson.cardoso@email.com,049,921843765,180
181,hortencia.ribeiro@email.com,011,956743281,181
182,ivan.barbosa@email.com,021,945678132,182
183,josefa.nascimento@email.com,031,932156478,183
184,kevin.campos@email.com,047,921876534,184
185,lais.vieira@email.com,019,965432178,185
186,milton.moreira@email.com,081,943218765,186
187,natasha.freitas@email.com,027,932165478,187
188,otavio.andrade@email.com,041,921876543,188
189,poliana.mendes@email.com,051,954321876,189
190,quintino.castro@email.com,061,932156789,190
191,robson.carvalho@email.com,062,921876543,191
192,simone.duarte@email.com,071,945678123,192
193,thales.teixeira@email.com,085,932167845,193
194,ursula.rocha@email.com,084,921843765,194
195,vagner.correia@email.com,083,956743281,195
196,waldemar.barros@email.com,017,945678132,196
197,xuxa.pinto@email.com,014,932156478,197
198,yasmin.marques@email.com,016,921876534,198
199,zeca.cunha@email.com,013,965432178,199
200,andrea.melo@email.com,015,943218765,200
